source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
GO:BP,GO:0006869,lipid transport,1.875020158418755e-11,True,"""The directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Lipids are compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."" [ISBN:0198506732]",163,151,18,14996,0.11920529801324503,0.11042944785276074,query_1,"['GO:0006810', 'GO:0010876']","['ENSDARG00000101324', 'ENSDARG00000092170', 'ENSDARG00000022767', 'ENSDARG00000042780', 'ENSDARG00000092155', 'ENSDARG00000075016', 'ENSDARG00000012076', 'ENSDARG00000015662', 'ENSDARG00000040298', 'ENSDARG00000104450', 'ENSDARG00000030872', 'ENSDARG00000060345', 'ENSDARG00000020866', 'ENSDARG00000078132', 'ENSDARG00000008948', 'ENSDARG00000102004', 'ENSDARG00000009153', 'ENSDARG00000094929']","[['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0010876,lipid localization,1.875020158418755e-11,True,"""Any process in which a lipid is transported to, or maintained in, a specific location."" [GOC:BHF, GOC:dph, GOC:tb]",164,151,18,14996,0.11920529801324503,0.10975609756097561,query_1,['GO:0033036'],"['ENSDARG00000101324', 'ENSDARG00000092170', 'ENSDARG00000022767', 'ENSDARG00000042780', 'ENSDARG00000092155', 'ENSDARG00000075016', 'ENSDARG00000012076', 'ENSDARG00000015662', 'ENSDARG00000040298', 'ENSDARG00000104450', 'ENSDARG00000030872', 'ENSDARG00000060345', 'ENSDARG00000020866', 'ENSDARG00000078132', 'ENSDARG00000008948', 'ENSDARG00000102004', 'ENSDARG00000009153', 'ENSDARG00000094929']","[['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:MF,GO:0098772,molecular function regulator activity,6.769886772349911e-11,True,"""A molecular function regulator regulates the activity of its target via non-covalent binding that does not result in covalent modification to the target. Examples of molecular function regulators include regulatory subunits of multimeric enzymes and channels. Mechanisms of regulation include allosteric changes in the target and competitive inhibition."" [GOC:dos, GOC:pt]",1182,255,46,21077,0.1803921568627451,0.038917089678511,query_1,['GO:0003674'],"['ENSDARG00000092170', 'ENSDARG00000012694', 'ENSDARG00000053973', 'ENSDARG00000090850', 'ENSDARG00000058476', 'ENSDARG00000090286', 'ENSDARG00000026764', 'ENSDARG00000076853', 'ENSDARG00000092155', 'ENSDARG00000045516', 'ENSDARG00000043719', 'ENSDARG00000069293', 'ENSDARG00000087359', 'ENSDARG00000058053', 'ENSDARG00000055036', 'ENSDARG00000004296', 'ENSDARG00000041645', 'ENSDARG00000052948', 'ENSDARG00000061383', 'ENSDARG00000021004', 'ENSDARG00000052207', 'ENSDARG00000076448', 'ENSDARG00000089361', 'ENSDARG00000016412', 'ENSDARG00000093068', 'ENSDARG00000098645', 'ENSDARG00000001818', 'ENSDARG00000041685', 'ENSDARG00000117107', 'ENSDARG00000093198', 'ENSDARG00000075163', 'ENSDARG00000091609', 'ENSDARG00000102617', 'ENSDARG00000088972', 'ENSDARG00000100051', 'ENSDARG00000102175', 'ENSDARG00000099811', 'ENSDARG00000045854', 'ENSDARG00000102868', 'ENSDARG00000103833', 'ENSDARG00000079443', 'ENSDARG00000078757', 'ENSDARG00000031649', 'ENSDARG00000105976', 'ENSDARG00000076401', 'ENSDARG00000070918']","[['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA'], ['IBA', 'IEA']]"
GO:BP,GO:0042157,lipoprotein metabolic process,1.0525569260318567e-07,True,"""The chemical reactions and pathways involving any conjugated, water-soluble protein in which the covalently attached nonprotein group consists of a lipid or lipids."" [ISBN:0198506732]",30,151,8,14996,0.052980132450331126,0.26666666666666666,query_1,['GO:0019538'],"['ENSDARG00000101324', 'ENSDARG00000092170', 'ENSDARG00000092155', 'ENSDARG00000012076', 'ENSDARG00000040298', 'ENSDARG00000020866', 'ENSDARG00000102004', 'ENSDARG00000094929']","[['IEA'], ['IEA'], ['IMP', 'IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0050817,coagulation,6.799455889206279e-06,True,"""The process in which a fluid solution, or part of it, changes into a solid or semisolid mass."" [ISBN:0198506732]",71,151,9,14996,0.059602649006622516,0.1267605633802817,query_1,['GO:0032501'],"['ENSDARG00000020741', 'ENSDARG00000008969', 'ENSDARG00000061383', 'ENSDARG00000055705', 'ENSDARG00000076448', 'ENSDARG00000057498', 'ENSDARG00000075827', 'ENSDARG00000034862', 'ENSDARG00000100782']","[['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IBA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0033036,macromolecule localization,2.599194206068259e-05,True,"""Any process in which a macromolecule is transported to, or maintained in, a specific location."" [GOC:mah]",606,151,22,14996,0.1456953642384106,0.036303630363036306,query_1,['GO:0051179'],"['ENSDARG00000101324', 'ENSDARG00000092170', 'ENSDARG00000022767', 'ENSDARG00000042780', 'ENSDARG00000092155', 'ENSDARG00000075016', 'ENSDARG00000012076', 'ENSDARG00000015662', 'ENSDARG00000040298', 'ENSDARG00000104450', 'ENSDARG00000030872', 'ENSDARG00000059902', 'ENSDARG00000075436', 'ENSDARG00000060345', 'ENSDARG00000020866', 'ENSDARG00000078132', 'ENSDARG00000008948', 'ENSDARG00000102004', 'ENSDARG00000009153', 'ENSDARG00000009470', 'ENSDARG00000094929', 'ENSDARG00000078902']","[['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IBA', 'IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0007596,blood coagulation,4.124679247768798e-05,True,"""The sequential process in which the multiple coagulation factors of the blood interact, ultimately resulting in the formation of an insoluble fibrin clot; it may be divided into three stages: stage 1, the formation of intrinsic and extrinsic prothrombin converting principle; stage 2, the formation of thrombin; stage 3, the formation of stable fibrin polymers."" [PMID:30700128]",68,151,8,14996,0.052980132450331126,0.11764705882352941,query_1,"['GO:0007599', 'GO:0042060', 'GO:0050817']","['ENSDARG00000020741', 'ENSDARG00000008969', 'ENSDARG00000061383', 'ENSDARG00000055705', 'ENSDARG00000057498', 'ENSDARG00000075827', 'ENSDARG00000034862', 'ENSDARG00000100782']","[['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0007599,hemostasis,4.124679247768798e-05,True,"""The stopping of bleeding (loss of body fluid) or the arrest of the circulation to an organ or part."" [ISBN:0198506732]",68,151,8,14996,0.052980132450331126,0.11764705882352941,query_1,['GO:0050878'],"['ENSDARG00000020741', 'ENSDARG00000008969', 'ENSDARG00000061383', 'ENSDARG00000055705', 'ENSDARG00000057498', 'ENSDARG00000075827', 'ENSDARG00000034862', 'ENSDARG00000100782']","[['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:MF,GO:0004869,cysteine-type endopeptidase inhibitor activity,4.971378966532142e-05,True,"""Binds to and stops, prevents or reduces the activity of a cysteine-type endopeptidase."" [GOC:dph, GOC:tb]",17,255,5,21077,0.0196078431372549,0.29411764705882354,query_1,['GO:0004866'],"['ENSDARG00000053973', 'ENSDARG00000026764', 'ENSDARG00000069293', 'ENSDARG00000117107', 'ENSDARG00000070918']","[['IEA'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0042060,wound healing,5.591354339040046e-05,True,"""The series of events that restore integrity to a damaged tissue, following an injury."" [GOC:bf, PMID:15269788]",73,151,8,14996,0.052980132450331126,0.1095890410958904,query_1,['GO:0009611'],"['ENSDARG00000020741', 'ENSDARG00000008969', 'ENSDARG00000061383', 'ENSDARG00000055705', 'ENSDARG00000057498', 'ENSDARG00000075827', 'ENSDARG00000034862', 'ENSDARG00000100782']","[['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0050878,regulation of body fluid levels,5.591354339040046e-05,True,"""Any process that modulates the levels of body fluids."" [GOC:ai, GOC:dph, GOC:tb]",72,151,8,14996,0.052980132450331126,0.1111111111111111,query_1,['GO:0065008'],"['ENSDARG00000020741', 'ENSDARG00000008969', 'ENSDARG00000061383', 'ENSDARG00000055705', 'ENSDARG00000057498', 'ENSDARG00000075827', 'ENSDARG00000034862', 'ENSDARG00000100782']","[['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:BP,GO:0009611,response to wounding,0.00012361737977226484,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism."" [GOC:go_curators]",82,151,8,14996,0.052980132450331126,0.0975609756097561,query_1,['GO:0006950'],"['ENSDARG00000020741', 'ENSDARG00000008969', 'ENSDARG00000061383', 'ENSDARG00000055705', 'ENSDARG00000057498', 'ENSDARG00000075827', 'ENSDARG00000034862', 'ENSDARG00000100782']","[['IEA'], ['IEA'], ['IEA'], ['IMP'], ['IEA'], ['IEA'], ['IEA'], ['IEA']]"
GO:CC,GO:0034364,high-density lipoprotein particle,0.00019737553702258806,True,"""A lipoprotein particle with a high density (typically 1.063-1.21 g/ml) and a diameter of 5-10 nm that contains APOAs and may contain APOCs and APOE; found in blood and carries lipids from body tissues to the liver as part of the reverse cholesterol transport process."" [GOC:BHF, GOC:expert_pt, GOC:mah, GOC:pde, GOC:rl]",4,130,3,12235,0.023076923076923078,0.75,query_1,['GO:0034358'],"['ENSDARG00000092170', 'ENSDARG00000092155', 'ENSDARG00000030872']","[['IBA'], ['IBA', 'IEA'], ['IEA']]"
